Quandl Code|Date|Value
LPG_R/ETHGC|9-24-2008|$26,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-1-2008|$26,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-8-2008|$26,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-15-2008|$25,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-22-2008|$25,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-29-2008|$24,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-5-2008|$23,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-12-2008|$23,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-19-2008|$22,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-26-2008|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-3-2008|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-10-2008|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-17-2008|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|12-24-2008|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|12-31-2008|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-7-2009|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-14-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-21-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-4-2009|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-11-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-18-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-25-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-4-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-11-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-18-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-25-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|4-1-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|4-14-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|4-15-2009|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-22-2009|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-29-2009|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-6-2009|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-13-2009|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|5-20-2009|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|5-27-2009|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-3-2009|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-10-2009|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-17-2009|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-24-2009|$16,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-1-2009|$16,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-8-2009|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-15-2009|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-22-2009|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-29-2009|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|8-5-2009|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-12-2009|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-19-2009|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-26-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-2-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-9-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-16-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-23-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-30-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-7-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-14-2009|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-21-2009|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-28-2009|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-4-2009|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-11-2009|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-18-2009|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-25-2009|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-2-2009|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-9-2009|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-16-2009|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-23-2009|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-6-2010|$15,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-13-2010|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-20-2010|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-27-2010|$15,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-3-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-10-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-17-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-24-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-3-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-10-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-17-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-24-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-6-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-7-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-14-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-21-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-28-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-5-2010|$17,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-12-2010|$17,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-19-2010|$17,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-26-2010|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|6-2-2010|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|6-9-2010|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|6-16-2010|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-23-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-30-2010|$16,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-7-2010|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-14-2010|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-21-2010|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-28-2010|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-4-2010|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-11-2010|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-18-2010|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-25-2010|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|9-1-2010|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-8-2010|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-15-2010|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-22-2010|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-29-2010|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-6-2010|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-13-2010|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-20-2010|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-27-2010|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-3-2010|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-10-2010|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-17-2010|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-24-2010|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|12-1-2010|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-8-2010|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|12-15-2010|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|12-22-2010|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-29-2010|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-5-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-12-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-19-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-26-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-2-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-9-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-16-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-23-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-2-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-9-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-16-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-23-2011|$21,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-30-2011|$21,333 |$0 |$0 |$0 |
LPG_R/ETHGC|4-6-2011|$21,333 |$0 |$0 |$0 |
LPG_R/ETHGC|4-13-2011|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-27-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-4-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-11-2011|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-18-2011|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-25-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-1-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-8-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-15-2011|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-22-2011|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-29-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-6-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-13-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-20-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|7-27-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-3-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-10-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-17-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-21-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-31-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-7-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-14-2011|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|9-21-2011|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|9-28-2011|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-5-2011|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-12-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-19-2011|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-26-2011|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-2-2011|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|11-9-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-16-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-23-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-30-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-7-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-14-2011|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-21-2011|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-4-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-11-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-18-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-25-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-1-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-8-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-15-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-22-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-7-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-14-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-21-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|3-28-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-11-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-18-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-25-2012|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|5-2-2012|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-9-2012|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-23-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-30-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-6-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-13-2012|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-20-2012|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-27-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-4-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-11-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-18-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-25-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-1-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-8-2012|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-15-2012|$20,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-22-2012|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|8-29-2012|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-5-2012|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-12-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-19-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-26-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-3-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-10-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-17-2012|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-24-2012|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|10-31-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-7-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-14-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-21-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-28-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-5-2012|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-12-2012|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-19-2012|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-2-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-9-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-16-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-23-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|1-30-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-6-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-13-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-20-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-27-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-6-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-13-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-20-2013|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-3-2013|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-10-2013|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-17-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|4-24-2013|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|5-8-2013|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|5-9-2013|$20,667 |$0 |$0 |$0 |
LPG_R/ETHGC|5-15-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-22-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-29-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-5-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-12-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-19-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|6-26-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-3-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-10-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-17-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-24-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-31-2013|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|8-7-2013|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-14-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|8-21-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|8-28-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-4-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-11-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-18-2013|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|9-25-2013|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-2-2013|$17,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-9-2013|$17,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-16-2013|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-23-2013|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|10-30-2013|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|              11-06-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-13-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-20-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|11-27-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-4-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-11-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-18-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|12-27-2013|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-2-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-8-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-15-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-22-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-29-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-5-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-12-2014|$17,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-19-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|2-26-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-5-2014|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-12-2014|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|3-19-2014|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-26-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-2-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-9-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-16-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-23-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|4-30-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-7-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|5-14-2014|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-21-2014|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|5-28-2014|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|6-4-2014|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|6-11-2014|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|6-18-2014|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|6-25-2014|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-2-2014|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-9-2014|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|7-16-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-23-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|7-30-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-6-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-13-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-20-2014|$18,333 |$0 |$0 |$0 |
LPG_R/ETHGC|8-27-2014|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-3-2014|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-10-2014|$19,000 |$0 |$0 |$0 |
LPG_R/ETHGC|9-17-2014|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|9-29-2014|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|10-1-2014|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|10-8-2014|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|10-15-2014|$19,667 |$0 |$0 |$0 |
LPG_R/ETHGC|10-22-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|10-29-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-5-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-12-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-19-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|11-26-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-3-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-10-2014|$20,000 |$0 |$0 |$0 |
LPG_R/ETHGC|12-17-2014|$19,333 |$0 |$0 |$0 |
LPG_R/ETHGC|1-7-2015|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|1-14-2015|$18,667 |$0 |$0 |$0 |
LPG_R/ETHGC|2-4-2015|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-11-2015|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-18-2015|$18,000 |$0 |$0 |$0 |
LPG_R/ETHGC|2-25-2015|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-4-2015|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-11-2015|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-18-2015|$17,333 |$0 |$0 |$0 |
LPG_R/ETHGC|3-25-2015|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-8-2015|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-15-2015|$16,667 |$0 |$0 |$0 |
LPG_R/ETHGC|4-22-2015|$16,667 |$0 |$0 |$0 |
